"id","station_name","location","longitude","latitude","image","topic_MQTT","observator","observator_phone","created_at","created_by_id","sn_logger","sn_modem","map_icon","maintenance","hide","note"
"5","Karang Pilang 2 Utama","Karang Pilang 2 Utama","112.680534","-7.342346","stations/1566e7f2-c50.jpg","pdam_sby/kp2_utama",,,"2024-07-18 03:54:48.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 500, jumlah_operasi: 5/6, ukuran_sensor: 1400, harga_satuan: 365, balai: karangpilang, faktor_cal: min, percent_cal: 16.5, upload: 0]"
"8","Karang Pilang 2 Uprating","Karang Pilang 2 Uprating","112.680467","-7.342327","stations/93ff4909-b38.jpg","pdam_sby/kp2_uprating",,,"2024-08-09 06:02:07.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 250, jumlah_operasi: 3/4, ukuran_sensor: 600, harga_satuan: 337, balai: karangpilang, faktor_cal: min, percent_cal: 10, upload: 0]"
"9","Karang Pilang 1 Utama","Karang Pilang 1 Utama","112.680288","-7.343982","stations/6dec26d1-e4e.jpg","pdam_sby/kp1_utama",,,"2024-07-08 03:41:28.000000",NULL,,,NULL,"0","0","[nameplate_head : 44, kapasitas: 1030, jumlah_operasi: 1/2, ukuran_sensor: 1000, harga_satuan: 365, balai: karangpilang, faktor_cal: min, percent_cal: 28.41, upload: 0]"
"11","Ngagel 1 Selatan","Ngagel 1 Selatan","112.7422808","-7.3004074","stations/87b37ac7-f9e.jpg","pdam_sby/ngagel1_selatan",,,"2024-08-02 04:26:27.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 250, jumlah_operasi: 2/3, ukuran_sensor: 600, harga_satuan: 337, balai: ngagel, faktor_cal: min, percent_cal: 22.8, upload: 0]"
"12","Ngagel 3 Utama","Ngagel 3 Utama","112.7474204","-7.299704372","stations/4d5202f5-8c4.jpg","pdam_sby/ngagel3_utama",,,"2024-07-31 03:34:47.000000",NULL,,,NULL,"0","0","[nameplate_head : 45, kapasitas: 250, jumlah_operasi: 8/10, ukuran_sensor: 900, harga_satuan: 337, balai: ngagel, faktor_cal: min, percent_cal: 13.6, upload: 0]"
"13","Ngagel 1 Tengah 450","Ngagel 1 Tengah 450","112.742445","-7.29997484","stations/cdba1518-038.jpg","pdam_sby/ngagel1_tengah450",,,"2024-07-11 02:36:43.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 200, jumlah_operasi: 1/2, ukuran_sensor: 450, harga_satuan: 299, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"14","Ngagel 1 Tengah 250","Ngagel 1 Tengah 250","112.7424015","-7.29997484","stations/e93a568a-52d.jpg","pdam_sby/ngagel1_tengah250",,,"2024-07-11 02:36:52.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 150, jumlah_operasi: 1/3, ukuran_sensor: 250, harga_satuan: 299, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"15","Ngagel 1 Utara Barat","Ngagel 1 Utara Barat","112.7427888","-7.299219917","stations/4fa5e93c-886.jpg","pdam_sby/ngagel1_UtaraB",,,"2024-07-11 02:37:01.000000",NULL,,,NULL,"0","0","[nameplate_head : 50, kapasitas: 250, jumlah_operasi: 1/3, ukuran_sensor: 600, harga_satuan: 337, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"16","Ngagel 1 Utara Timur","Ngagel 1 Utara Timur","112.7428572","-7.299257919","stations/17ecfeca-453.jpg","pdam_sby/ngagel1_UtaraT",,,"2024-07-11 02:37:09.000000",NULL,,,NULL,"0","0","[nameplate_head : 50, kapasitas: 375, jumlah_operasi: 2/3, ukuran_sensor: 600, harga_satuan: 337, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"17","Ngagel 1 BB","Ngagel 1 BB","112.7436235","-7.300765241","stations/8a566ea4-548.jpg","pdam_sby/ngagel1_bb",,,"2024-07-11 02:37:21.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 150, jumlah_operasi: 0/0, ukuran_sensor: 250, harga_satuan: 299, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"18","Ngagel 3 Tambahan","Ngagel 3 Tambahan","112.7472051","-7.299704372","stations/d596c9ed-488.jpg","pdam_sby/ngagel3_tambahan",,,"2024-07-11 02:38:28.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 200, jumlah_operasi: 1/2, ukuran_sensor: 450, harga_satuan: 299, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"19","Karang Pilang 1 Utama 400","Karang Pilang 1 Utama 400","112.67983","-7.344519","stations/3920873e-e56.jpg","pdam_sby/kp1_utama400",,,"2024-07-11 02:38:37.000000",NULL,,,NULL,"0","0","[nameplate_head : none, kapasitas: none, jumlah_operasi: 1/2, ukuran_sensor: 400, harga_satuan: 365, balai: karangpilang, faktor_cal: sum, percent_cal: none, upload: 0]"
"20","Karang Pilang 1 Uprating 400","Karang Pilang 1 Uprating 400","112.67983","-7.344677","stations/c76b8da3-6b6.jpg","pdam_sby/kp1_uprating400",,,"2024-07-11 02:38:45.000000",NULL,,,NULL,"0","0","[nameplate_head : none, kapasitas: none, jumlah_operasi: 1/2, ukuran_sensor: 400, harga_satuan: 299, balai: karangpilang, faktor_cal: sum, percent_cal: none, upload: 0]"
"21","Karang Pilang 1 Uprating 250","Karang Pilang 1 Uprating 250","112.679794","-7.345036041","stations/9c0194cc-44d.jpg","pdam_sby/kp1_uprating250",,,"2024-07-10 21:54:59.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 250, jumlah_operasi: 2/3, ukuran_sensor: 600, harga_satuan: 337, balai: karangpilang, faktor_cal: min, percent_cal: 20.03, upload: 0]"
"22","Karang Pilang 3 Putatgede","Karang Pilang 3 Putatgede","112.680415","-7.342326","stations/0ae934e4-f9e.jpg","pdam_sby/kp3_putatgede",,,"2024-08-08 02:30:48.000000",NULL,,,NULL,"0","0","[nameplate_head : 40, kapasitas: 400, jumlah_operasi: 3/3, ukuran_sensor: 900, harga_satuan: 337, balai: karangpilang, faktor_cal: min, percent_cal: 18.45, upload: 0]"
"23","Karang Pilang 3 Ketegan","Karang Pilang 3 Ketegan","112.680451","-7.342326","stations/2d664348-98e.jpg","pdam_sby/kp3_ketegan",,,"2024-08-09 03:33:06.000000",NULL,,,NULL,"0","0","[nameplate_head : 40, kapasitas: 400, jumlah_operasi: 3/4, ukuran_sensor: 1100, harga_satuan: 365, balai: karangpilang, faktor_cal: sum, percent_cal: 15, upload: 0]"
"24","Ngagel 2 800","Ngagel 2 800","112.740015","-7.300435","stations/f98002ca-c01.jpg","pdam_sby/ngagel2_800",,,"2024-08-19 21:30:14.000000",NULL,,,NULL,"0","0","[nameplate_head : 60, kapasitas: 250, jumlah_operasi: 5/6, ukuran_sensor: 800, harga_satuan: 337, balai: ngagel, faktor_cal: min, percent_cal: 10.3, upload: 0]"
"25","Ngagel 2 200","Ngagel 2 200","112.740738","-7.300312","stations/6d342636-131.jpg","pdam_sby/ngagel2_200",,,"2024-07-30 19:03:42.000000",NULL,,,NULL,"0","0","[nameplate_head : none, kapasitas: none, jumlah_operasi: 5/6, ukuran_sensor: 200, harga_satuan: 275, balai: ngagel, faktor_cal: sum, percent_cal: none, upload: 0]"
"26","Jembatan Bungkuk","Jembatan Bungkuk","112.7418066","-7.2969479","stations/bd2ffdfa-c44.jpg","pdam_sby/jembatan_bungkuk",,,"2024-07-11 02:39:14.000000",NULL,,,NULL,"0","0","[interzone: none, jumlah_pompa: none, max_flow: none, diameter: 600, harga_satuan: 337, balai: distribusi, faktor_cal: sum, percent_cal: none, upload: 0]"
"27","Kalisumo","Kalisumo","112.7549018","-7.302061032","stations/7e70518d-87e.jpg","pdam_sby/kalisumo",,,"2024-07-11 02:39:23.000000",NULL,,,NULL,"0","0","[interzone: none, jumlah_pompa: none, max_flow: none, diameter: 300, harga_satuan: 299, balai: distribusi, faktor_cal: sum, percent_cal: none, upload: 0]"
"28","Panjang Jiwo Barat","Input Zona 1 | Output Zona 2 & 3","112.761837","-7.30591","stations/e6afdaee-afb.jpg","pdam_sby/panjangjiwo_barat",,,"2024-07-11 02:40:12.000000",NULL,,,NULL,"0","0","[interzone: Input Zona 1 | Output Zona 2 & 3, jumlah_pompa: none, max_flow: none, diameter: 400, harga_satuan: 299, balai: distribusi, faktor_cal: sum, percent_cal: none, upload: 0]"
